,ID,Product Name,Price,Color
0,ALK231009,Fabrics 3 Piece Suit,3490,NAVY
1,BLK231004,Fabrics 3 Piece Suit,4290,OLIVE
2,ACA231008,Fabrics 3 Piece Suit,3490,BEIGE
3,ILK231001,Fabrics 2 Piece,3990,D-GREEN
4,JK231001,Fabrics 2 Piece,2490,WHITE
5,MLK231001,Fabrics 2 Piece,3390,GREEN
6,AK231006,Fabrics 3 Piece Suit,3490,ORANGE
7,BLK231001,Fabrics 3 Piece Suit,4290,NAVY
8,JK231002,Fabrics 2 Piece,2490,ORANGE
9,BCH231002,Fabrics 3 Piece Suit,5490,BEIGE
10,ALK231017,Fabrics 3 Piece Suit,3490,NAVY
11,BCH231003,Fabrics 3 Piece Suit,5490,D-PINK
12,BK231002,Fabrics 3 Piece Suit,5490,BLACK
13,BK231004,Fabrics 3 Piece Suit,4990,OLIVE
14,BLK231007,Fabrics 3 Piece Suit,4290,GREEN
15,BLK231008,Fabrics 3 Piece Suit,4290,BLUE
16,BLK231005,Fabrics 3 Piece Suit,4290,MUSTARD
17,BK231001,Fabrics 3 Piece Suit,5490,GREEN
18,EET24146,Classic Kurta,2490,MULTI
19,EST23427,Batwing Tunic,6490,MULTI
20,EET23534,Drop Shoulder,3490,NAVY
21,EST23430,Classic Kameez,4990,OFF-WHITE
22,EST23424,Classic Kameez,4990,GREEN
23,EET23532,Choga,3690,BLACK
24,EST23420,Classic Kurta,4990,PURPLE
25,EST23419,Classic Kurta,6990,OFF-WHITE
26,EST23423,Classic Kameez,4990,PINK
27,EET23528,Drop Shoulder,3190,GREEN
28,EET24141,Classic Kurta,2490,MULTI
29,EST23429,Choga,5990,TURQUOISE
30,LLA230902,Fabrics 2 Piece,2490,BEIGE
31,JCA231003,Fabrics 2 Piece,2490,GREEN
32,JLK231002,Fabrics 2 Piece,2490,L-GREEN
33,JCA231001,Fabrics 2 Piece,2490,NAVY
34,JLK231001,Fabrics 2 Piece,2490,BEIGE
35,WSCD23237,Wrap Blouse,3990,BLACK
36,WSCT23223,Button Down Tunic,3490,BROWN
37,WSCT23224,Drawstring Waist Shirt,4690,BEIGE
38,WSCD23241,V Neck Blouse,3990,BLACK
39,WSCD23248,Wrap Dress,4990,BLACK
40,WSCD23239,Wrap Dress,4990,BLUE
41,WSCD23238,Belted Shirt Dress,4990,BLUE
42,WSCB23219,Bootcut Trousers,2590,BROWN
43,WSCD23240B,Wide Leg Trousers,3190,BLUE
44,WSCB23221,Straight Trousers,3490,BEIGE
45,WSCB23222,Straight Trousers,3490,BLACK
46,WCKT23234,Round Neck T-shirt,1790,WHITE
47,AK231001,Fabrics 3 Piece Suit,3490,RED
48,ALK231018,Fabrics 3 Piece Suit,3490,BLACK
49,AK231002,Fabrics 3 Piece Suit,3490,BEIGE
50,ALK231012,Fabrics 3 Piece Suit,3490,PURPLE
51,IK231002,Fabrics 2 Piece,3290,MAROON
52,ACA231005,Fabrics 3 Piece Suit,3490,OFF-WHITE
53,ACA231001,Fabrics 3 Piece Suit,3990,BLUE
54,ACA231002,Fabrics 3 Piece Suit,3990,PINK
55,ACA231006,Fabrics 3 Piece Suit,3490,NAVY
56,ACA231003,Fabrics 3 Piece Suit,3990,BLACK
57,JCA231002,Fabrics 2 Piece,2490,PURPLE
58,LCA231001,Fabrics 2 Piece,2590,L-PINK
59,BPO230603,Fabrics 3 Piece Suit,8990,BLUE
60,BDS230603,Fabrics 3 Piece Suit,7390,BLUE
61,BPO230601,Fabrics 3 Piece Suit,9790,RED
62,BPO230604,Fabrics 3 Piece Suit,8990,PURPLE
63,BDS230604,Fabrics 3 Piece Suit,7790,RED
64,BDS230602,Fabrics 3 Piece Suit,8190,BEIGE
65,BDS230601,Fabrics 3 Piece Suit,7190,WHITE
66,MLA230703,Fabrics 2 Piece,4390,BLACK
67,ILA230704,Fabrics 2 Piece,3990,BROWN
68,ILA230701,Fabrics 2 Piece,3590,BLACK
69,LLA230703,Fabrics 2 Piece,2590,ORANGE
70,LRI230601,Fabrics 2 Piece,3590,RED
71,MLA230704,Fabrics 2 Piece,4390,BLUE
72,LLA230711,Fabrics 2 Piece,2390,MUSTARD
73,LRI230602,Fabrics 2 Piece,3590,MUSTARD
74,ILA230703,Fabrics 2 Piece,4190,WHITE
75,ILA230702,Fabrics 2 Piece,3590,PURPLE
76,LLA230810,Fabrics 2 Piece,2390,RED
77,LLA230809,Fabrics 2 Piece,2390,MUSTARD
78,ALA230817,Fabrics 3 Piece Suit,3990,BEIGE
79,BLA230809,Fabrics 3 Piece Suit,3690,BEIGE
80,ALA230818,Fabrics 3 Piece Suit,3990,MUSTARD
81,BLA230806,Fabrics 3 Piece Suit,4390,PINK
82,LLA230807,Fabrics 2 Piece,2490,PURPLE
83,ALA230820,Fabrics 3 Piece Suit,3990,BLACK
84,ALA230806,Fabrics 3 Piece Suit,3990,RED
85,JLA230801,Fabrics 2 Piece,2390,BEIGE
86,ALA230803,Fabrics 3 Piece Suit,3990,OFF-WHITE
87,AMA231003,Fabrics 3 Piece Suit,4990,TEAL
88,AJ230601,Fabrics 3 Piece Suit,6790,BLUE
89,AJ230604,Fabrics 3 Piece Suit,6790,RED
90,AJ230602,Fabrics 3 Piece Suit,6790,BLACK
91,AJ230603,Fabrics 3 Piece Suit,6790,MUSTARD
92,KKF230601,Fabrics 3 Piece Suit | Khaas,18990,BLACK
93,AMA231006,Fabrics 3 Piece Suit,4990,PURPLE
94,ALK231015,Fabrics 3 Piece Suit,3490,BLACK
95,BCH231004,Fabrics 3 Piece Suit,5490,BLUE
96,BK231003,Fabrics 3 Piece Suit,5490,PINK
97,LLK231003,Fabrics 2 Piece,2890,D-PINK
98,LK231001,Fabrics 2 Piece,2590,BLACK
99,LLK231002,Fabrics 2 Piece,2890,OFF-WHITE
100,ICH231002,Fabrics 2 Piece,3990,MUSTARD
101,MCH231002,Fabrics 2 Piece,3990,CORAL
102,MLK231002,Fabrics 2 Piece Suit,3390,OFF-WHITE
103,IK231001,Fabrics 2 Piece,3290,RUST
104,MCA231002,Fabrics 2 Piece,3390,YELLOW
105,MCA231001,Fabrics 2 Piece,3390,TEAL
106,MCH231001,Fabrics 2 Piece,3990,OLIVE
107,MCA231003,Fabrics 2 Piece,3390,BLACK
108,ICH231001,Fabrics 2 Piece,3990,NAVY
109,ICH231003,Fabrics 2 Piece,3990,BLACK
110,ISCH231003,Fabrics 2 Piece,3990,L-YELLOW
111,ISCH231004,Fabrics 2 Piece,3990,L-GREEN
112,LLK231001,Fabrics 2 Piece,2590,GREEN
113,LK231002,Fabrics 2 Piece,2590,RED
114,LLA230913,Fabrics 2 Piece,2990,BLACK
115,JLK231003,Fabrics 2 Piece,2790,BLACK
116,JLK231004,Fabrics 2 Piece,2790,RED
117,EET24144,Classic Kameez,2490,MULTI
118,EET24145,Classic Kameez,2490,MULTI
119,EET24150,Classic Kameez,2490,MULTI
120,EET24147,Classic Kameez,2490,MULTI
121,EET23530,Classic Kurta,3490,RUST
122,EET23516,Choga,2990,BLACK
123,EET24142,Classic Kameez,2490,MULTI
124,EET24149,Classic Kurta,2490,MULTI
125,EET24143,Classic Kurta,2490,MULTI
126,EKT231023,Side Open Long Kameez,20990,MAROON
127,EKT231025,Classic Kameez,27990,OFF-WHITE
128,EKT231023B,Flared Pants,6990,RED
129,EKS231012,Dupatta,7990,RED
130,EKB231011,Narrow Culottes,7990,OFF-WHITE
131,EKT231022,Front Open Kameez,29990,BLUE
132,EKT231028,Front Open Kameez,27990,GREEN
133,EKT231024,Classic Kameez,24990,PINK
134,EKT231021,Classic Kameez,24990,YELLOW
135,EKS231011,Dupatta,12990,OFF-White
136,EKT231021S,Dupatta,12990,YELLOW
137,EKS231011S,Dupatta,9990,OFF-White
138,EKT22322,Flared Kurta,34990,BLACK
139,EKB22310,Flared Pants,8990,BLACK
140,EKT22324,Classic Kameez,24990,GREEN
141,EKB22312,Straight Pants,5990,PINK
142,EKB22309,Narrow Culottes,5990,GREEN
143,EKT22323,Classic Kameez,29990,PINK
144,EKT22319,Classic Kurta,19990,GREEN
145,EKT22318,Classic Kurta,24990,BLACK
146,EKT22317,Flared Kameez,39990,MULTI
147,EKT22320,Classic Kameez,29990,MUSTARD
148,EKT22320B,Narrow Culottes,5990,MUSTARD
149,EET235136,Kali Kurta,4190,PINK
150,EET235135,Kali Kurta,3990,NAVY
151,EEB23590,Straight Pants,1990,NAVY
152,EET235134,Flared Kameez,3990,PURPLE
153,EET235129,Kali Kurta,3990,YELLOW
154,EEB23591,Narrow Culottes,1990,PINK
155,EEB23586,Narrow Culottes,1990,YELLOW
156,EET235139,Flared Kameez,4190,OFF-WHITE
